watch_name,type_gender,brand,watch_color,watch_size,length_of_band,price,image_url
Rolex Combi Diamond Watch (116233),M,Rolex,yellow combination,18,36,12800,https://s.turbifycdn.com/aah/movadobaby/rolex-oyster-perpetual-datejust-116233-5383.jpg
Tudor Glamor Diamond Steel Watch (56000),M,TUDOR,steel,16,39,2600,https://img.chrono24.com/images/uhren/36463896-1c6werkaft8455xzmfqubrou-ExtraLarge.jpg
Hermes H Hour Steel Watch (HH1.210),F,Hermes,other,16,25.5,1750,https://img.chrono24.com/images/uhren/36199986-b896vrtbnbvoypb0jb4n9xo2-ExtraLarge.jpg
Rolex Combi Diamond Watch (179383),F,Rolex,yellow combination,17,26,17500,https://cdn2.bobswatches.com/_/q:50/sh:0.5/s:252:0:1/dpr:2/plain/images/carousel/Sub-carousel-23.jpg
Longines Master Collection Chrono Steel Watch (L2.773.4),M,LONGINES,steel,16,42,2600,https://cdn.watchbase.com/watch/lg/longines/mini/l2-303-0-87-2-72.jpg
Vacheron Constantin Overseas Steel Diamond Watch,F,Vacheron constantin,steel,17,33,17500,https://cdn11.bigcommerce.com/s-8acpxiqmze/images/stencil/500x659/products/3156/5975/BTKA_17190197897140157_3bfc54e41637f7830f459280e9dfbe__18655.1719325355.jpg?c=1
Zenith Defy Elprimero21 Chrono Titanium Watch (95.9000.9004),M,ZENITH,black,19,45,10500,https://cdn11.bigcommerce.com/s-8acpxiqmze/images/stencil/500x659/products/1269/1263/original__37694.1624723327.jpg?c=1
Rolex Steel Watch (126234),M,Rolex,steel,19,36,12000,https://img.chrono24.com/images/uhren/36002047-dn4ube3xulyp3rxvsjc08fd9-ExtraLarge.jpg
Longines Mini Dia Steel Watch (L2.303.0),F,LONGINES,black,16,16,600,https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/c/h/chanel-premiere-black-dial-stainless-steel-diamond-ladies-watch-h3254.jpg?width=546&height=546
Oris Ackers Steel Watch,M,Oris,steel,17,43,950,https://cdn11.bigcommerce.com/s-bc02e/images/stencil/500x659/products/113017/124910/s-l1600__36305.1719861689.jpg?c=2
Chanel Premier Diamond Steel Watch,F,Chanel,white,16,17.5,3600,https://cdn11.bigcommerce.com/s-bc02e/images/stencil/500x659/products/41323/92296/116681__24899.1507744907.jpg?c=2
Jaeger Lecoultre Rendezvous Diamond Steel Watch (3448410),Both,Jaeger leCoultre,navy,14,34,8200,https://content.thewosgroup.com/productimage/17310091/17310091_1.jpg?impolicy=hero&imwidth=700
Rolex Yachtmaster 2 Steel Watch (116680),M,Rolex,steel,19,44,23300,https://www.luxuryofwatches.com/rolex-yacht-master-ii-116680/
Cartier Tank Louis Gold Watch (Small),F,Cartier,other,16,22,9500,https://www.mayors.com/Cartier-Tank-Louis-Cartier-Watch-Small-Model..-Quartz-Movement..-Yellow-Gold..-Leather-W1529856/p/17310091
Hermes Pazpas watch (PP1.210),F,Hermes,black,17,26,850,https://www.ebay.com/itm/326150837571
Bulgari BB Combi Watch (BB26SG),F,Bvlgari,yellow combination,14,26,1360,https://www.ebay.com/itm/395020361052
Bulgari BB Steel Watch (BB38SSAUTO),M,Bvlgari,steel,15,38,1850,https://alexanderscolumbus.com/products/bvlgari-bvlgari-stainless-steel-automatic-watch-reference-bb-38-ss
Rolex Yachtmaster 2 Chrono Combi Watch (116681),M,Rolex,pink combination,18,43,32800,https://www.authenticwatches.com/rolex-yacht-master-116681.html
Rolex Submariner Combination Watch (116613),M,Rolex,yellow combination,19,40,18400,https://www.bobswatches.com/rolex-blog/watch-review/submariner-116613-sunburst-dial.html
Bulgari B.zero1 Diamond Watch (BZ22S),F,Bvlgari,other,13,22,1000,https://www.ebay.com/itm/203652215292
Omega Seamaster Planet Ocean Steel Watch,M,OMEGA,steel,18,42,2950,https://www.reeds.com/omega-seamaster-planet-ocean-600m-co-axial-master-chronometer-stainless-steel-watch-43-5mm-o21530442101001-plu19668904.html
Rolex Datejust Steel Watch (179160),F,Rolex,steel,16,26,6000,https://www.authenticwatches.com/rolex-datejust-179160-slvsdj.html
IWC Portofino Diamond Steel Watch (IW458101),F,IWC,other,17,37,4237,https://www.watchmaxx.com/iwc-watch-iw458101-cd
Cartier Ballon Bleu Chrono Steel Watch,M,Cartier,black,19,44,4800,https://www.authenticwatches.com/cartier-ballon-bleu-chrono-w6920002.html
Cartier Tank Francaise Combi Watch,F,Cartier,yellow combination,13,22.5,3000,https://www.ebay.com/itm/387406173735
Montblanc Smartwatch Steel Watch,M,MontBlanc,black,18,4,350,https://www.montblanc.com/variants/images/1647597287182224/A/w747.jpg
Rolex Datejust Combination Watch (116233),M,Rolex,yellow combination,16,36,12000,https://www.authenticwatches.com/rolex-oyster-perpetual-datejust-116233-svjdfj.html
Rolex Combi Watch (179173),F,Rolex,yellow combination,16,26,9600,https://www.jawajewelers.com/products/rolex-datejust-26mm-18k-yellow-gold-black-dial-jubilee-stainless-steel-watch-179173
Chanel Lahonde Steel Watch,F,Chanel,black,16,29,750,https://www.vestiairecollective.com/women-accessories/watches/chanel/white-steel-ronde-chanel-watch-45970798.shtml
Cartier Claire de Diamonds Gold Watch,F,Cartier,green,16,32,15000,https://www.jaztime.com/cartier-panthere-au-claire-de-lune-de-cartier-rose-gold-diamonds-42mm-blue-dial-hpi00712
Piaget Emperado White Gold Watch,Both,Piaget,other,18,29.5,7600,https://www.moyerfinejewelers.com/products/piaget-emperador-cushion-gmt-g0a32016-limited-edition-18k-white-gold
Hermes H Hour Diamond Watch (HH1.230),F,Hermes,black,16,21,4500,https://www.tourneau.com/watches/pre-owned-hermes/h-hour-stainless-steel-quartz-hh1.230-VHR9700004.html
Hermes Slim Dermes Steel Watch (CA2.110),F,Hermes,other,16,25,1850,https://www.ebay.com/itm/204796159820
Rolex Day Date Diamond Gold Watch (128348),M,Rolex,yellow gold,17,36,61500,https://diamondsourcenyc.com/products/rolex-128348rbr-0008
Vacheron Constantin Traditional Worldtime Gold Watch,M,Vacheron constantin,other,18,42,28300,https://worldofluxuryus.com/products/vacheron-constantin-traditionnelle-world-time-18kt-rose-gold-mens-watch-1
Rolex Datejust Steel Watch (116234),M,Rolex,steel,16,36,10400,https://www.watchguynyc.com/products/rolex-datejust-36-black-index-dial-steel-unisex-watch-116234
Rolex Combi Watch (126231),M,Rolex,pink combination,17,36,17000,https://www.authenticwatches.com/rolex-datejust-36-126231-0040.html
Hermes Cape Cod Steel Watch (CC2.710),Both,Hermes,other,17,35,2350,https://mygemma.com/products/123548-hermes-cape-cod-cc2-710-unisex-watch-in-stainless-steel
Oris Atelier Steel Moon Phase Watch,M,Oris,steel,17,40,700,https://www.authenticwatches.com/oris-artelier-complication-58175924054ls.html
Montblanc Star Steel Watch,M,MontBlanc,steel,18,42,1700,https://www.montblanc.com/en-us/wrist-watches_cod33258524072251994.html
Gucci Steel Watch (126.4),M,Gucci,steel,16,38,600,https://www.ebay.com/itm/265434903776
Breitling Superocean Steel Watch (A17364),M,BREITLING,steel,20,41,2100,https://www.swisswatchexpo.com/watches/breitling/mens-breitling/aeromarine/superocean-42-abyss-black-yellow-automatic-mens-a17364-23500/
Tag Heuer Carrera GMT Steel Watch (WAR201Z),M,Tagheuer,steel,18,40,1550,https://www.chrono24.com/tagheuer/tag-heuer-carrera-automatic-gmt-full-set--id36615619.htm
Cartier Tank Francaise Steel Watch,F,Cartier,steel,14,22.5,2700,https://www.cartier.com/en-ie/tank-francaise-watch_cod1647597304509605.html
Breitling Navitimer Chrono Steel Watch (AB0121),M,BREITLING,steel,17,42,7800,https://www.swisswatchexpo.com/watches/breitling-navitimer-01-blue-mother-of-pearl-dial-steel-mens-watch-ab0121-58852/
Rolex Steel Watch (177200),F,Rolex,steel,17,31,5300,https://www.swisswatchexpo.com/watches/rolex-oyster-perpetual-midsize-white-dial-ladies-watch-177200-49500/
Omega Constellation Steel Watch (151.23),Both,OMEGA,steel,16,33,900,https://www.ebay.com/itm/305368975158?chn=ps&mkevt=1&mkcid=28
Hermes Assault Grand Rune Watch (AR8.810),M,Hermes,black,19,43,3500,https://watchesofdistinction.com/product/hermes-arceau-grande-lune-ref-ar8-810-2022-box-and-papers/
Hermes Nantucket Diamond Steel Watch (NA2.231),F,Hermes,black,17,23.5,4300,https://www.hermes.com/us/en/product/nantucket-watch-small-model-29mm-W057486WW00/
Hermes H Hour Gold Plated Watch (HH1.801),Both,Hermes,brown,17,36,2300,https://watchnian.com/shop/en/g/gik-00-0620223/
Bvlgari Solotempo Steel Watch (ST35S),F,Bvlgari,steel,15,35,590,https://www.ebay.com/itm/404441580173
Cartier Ballon Bleu Combi Watch (Small),F,Cartier,steel,13,28,4900,https://www.analogshift.com/products/cartier-ballon-bleu-small
Cartier Tank Solo Gold Watch,F,Cartier,brown,16,27.5,5850,https://www.swisswatchexpo.com/watches/cartier-tank-solo-large-yellow-gold-steel-mens-watch-w5200004-60513/
Montblanc Star 4810 Steel Watch (114853),M,MontBlanc,black,18,40,1650,https://www.authenticwatches.com/montblanc-4810-day-date-114853-watch.html
Omega Constellation combination watch,F,OMEGA,yellow combination,15,28,1720,https://www.walmart.com/ip/Pre-Owned-OMEGA-Omega-Constellation-automatic-self-winding-watch-SS-K18YG-combination-gold-men-s-1202-10-Good/3158883391
Cartier Santos Combi Watch,F,Cartier,yellow combination,15,13,2450,https://www.ebay.com/itm/333924968777
Rolex Daytona Chrono Gold Watch (116519),M,Rolex,black,18,40,38500,https://www.watchguynyc.com/products/rolex-cosmograph-daytona-meteorite-dial-yellow-gold-mens-watch-116519ln
Bulgari BB Steel Watch (BB33SSAUTO),F,Bvlgari,steel,16,33,1000,https://shop.connoisseuroftime.com/products/bvlgari-bvlgari-bulgari-mens-automatic-watch-with-bracelet-bb-33-ss-auto-stainless-steel
Chanel J12 diamond watch,F,Chanel,black,13,28,7000,https://www.hydeparkjewelers.com/chanel-j12-diamond-bezel-watch-caliber-12-1-38-mm/
Hermes H Hour Watch (HH1.201),F,Hermes,brown,16,21,1700,https://shop.fingertipsco.com/products/hermes-h-watch-hh1-201-01071
Vacheron Constantin Traditional Gold Watch (X82R1777),M,Vacheron constantin,brown,18,38,22300,https://www.vacheron-constantin.com/jp/en/collections/historiques/4200h-222j-b935.html
Tag Heuer Formula 1 Steel Watch (WAH1111),M,Tagheuer,steel,18,40,720,https://www.ebay.com/p/4043309801
Cartier Ballon Bleu Steel Watch,M,Cartier,black,19,42,4050,https://www.cartier.com/en-us/watches/collections/ballon-de-cartier/ballon-bleu-de-cartier-watch--CRWSBB0044.html
Rolex Submariner Steel Watch (16610),M,Rolex,steel,18,40,10800,https://www.luxuryofwatches.com/rolex-submariner-16610-black-steel-pre-owned/
Tag Heuer Aquaracer Watch (WAY201P),M,Tagheuer,other,19,43,2000,https://www.tagheuer.com/us/en/timepieces/collections/tag-heuer-aquaracer/43-mm-calibre-5-automatic/WAY201P.FT6178.html
Patek Philippe Twenty Four Steel Diamond Watch,F,PATEK PHILIPPE,steel,16,27,15000,https://www.watchguynyc.com/products/patek-philippe-twenty-4-black-dial-steel-diamond-ladies-watch-4910-10a-001
Cartier Ballon Bleu Steel Watch (WSBB0048),Both,Cartier,steel,15,36,5700,https://www.luxuryofwatches.com/cartier-ballon-bleu-wsbb0048/
Cartier Anglaise Gold Watch,F,Cartier,other,15,22,13000,https://luxurytimenyc.com/products/cartier-tank-anglaise-watch-small-yellow-gold-case-w5310014
Rolex Datejust Steel Watch (116200),M,Rolex,steel,17,36,7000,https://watchchest.com/rolex-datejust-116200-609.html
Breitling Navitimer Chrono Steel Watch (AB0138),M,BREITLING,black,19,43,7200,https://www.manfredijewels.com/products/breitling-navitimer-b01-chronograph-43-reference-ab0138
Rolex Datejust 10P Diamond Combi Watch (179173),F,Rolex,yellow combination,14,26,11400,https://www.authenticwatches.com/rolex-lady-datejust-steel-gold-179173-slvdj.html
Cartier Ballon Bleu Steel Watch (W6920085),F,Cartier,black,19,33,3850,https://www.tourneau.com/watches/cartier/ballon-bleu-de-cartier-33-mm-w6920085-CAR0354494.html
Hermes Assault Steel Watch (AR8.810),M,Hermes,navy,18,43,4800,https://www.1stdibs.com/jewelry/watches/wrist-watches/hermes-arceau-moonphase-automatic-stainless-steel-watch-ar8810/id-j_12141342/
Tag Heuer Aquaracer Diamond Steel Watch (WBD1414),F,Tagheuer,steel,13,28,1000,https://www.tagheuer.com/us/en/timepieces/collections/tag-heuer-aquaracer/27-mm-quartz/WBD1414.BA0741.html
Fendi Steel Watch (3800L),F,Fendi,steel,15,24,250,https://www.ebay.com/itm/326154379272
Tag Heuer Carrera Chrono Steel Watch (CAR2111-3),M,Tagheuer,steel,17,41,2200,https://www.crownandcaliber.com/products/tag-heuer-carrera-car2111-3-10-10-tag-kfebav
Breitling Chronomat Chrono Combi Watch (UB0134),M,BREITLING,pink combination,15,42,9750,https://www.moyerfinejewelers.com/products/breitling-chronomat-b01-42-ub0134101b1u1
Rolex Datejust Combination Watch (279173),F,Rolex,yellow combination,15,28,13000,https://diamondsourcenyc.com/products/rolex-279173-0019
Cartier Tank Must Dia Steel Watch (W4TA0016),F,Cartier,black,16,26,6500,https://www.tourneau.com/watches/cartier/tank-must-small-model-w4ta0016-CAR0220265.html
TAG Heuer Carrera Chrono Watch (CAR2110),M,Tagheuer,steel,17,40,2400,https://www.amazon.com/TAG-Heuer-CAR2110-FC6266-Carrera-Stainless/dp/B005H0JA6I
TAG Heuer Carrera Chrono Steel Watch (CBK2112),M,Tagheuer,other,18,41,2750,https://www.tagheuer.com/us/en/timepieces/collections/tag-heuer-carrera/41-mm-calibre-16-automatic/CBK2112.BA0715.html
Rolex Datejust Diamond Combi Watch (279171),F,Rolex,pink combination,14,28,18800,https://luxurywatchesusa.com/product/rolex-lady-datejust-279171-28mm-chocolate-diamond-set-jubilee-stainless-steel-and-rose-gold/
TAG Heuer Carrera Steel Chrono Watch (CAR2013),M,Tagheuer,steel,17,43,2350,https://www.cooperjewelers.com/products/tag-heuer-carrera-car2013-ba0799
Omega Seamaster Diver 300M Steel Watch (210.30.42),M,OMEGA,steel,17,42,4700,https://www.omegawatches.com/en-us/watch-omega-seamaster-diver-300m-co-axial-master-chronometer-42-mm-21030422001001
Cartier Ballon Bleu Diamond Steel Watch,Both,Cartier,steel,18,36,6000,https://www.lmfj.com/ballon-bleu-de-cartier-watch-28mm-diam
Rolex Submariner Steel Watch (16610 LV),M,Rolex,steel,17,40,23000,https://www.swisswatchexpo.com/watches/rolex-submariner-green-50th-anniversary-flat-4-watch-16610lv-41041/
Cartier Ballon Bleu Steel Watch (Large),M,Cartier,steel,18,42,4850,https://www.cartier.com/en-us/watches/collections/ballon-de-cartier/ballon-bleu-de-cartier-watch--CRWSBB0044.html
omega deville watch,Both,OMEGA,other,18,30,500,https://www.amazon.com/Omega-Deville-Prestige-Co-Axial-424-10-37-20-03-001/dp/B00KAM7NPS
Cartier Panther Steel Watch,F,Cartier,steel,15,26,4400,https://www.cartier.com/en-us/watches/collections/panthere-de-cartier/panthere-de-cartier-watch-CRWSPN0013.html
Breitling Colt Steel Watch (A17313),M,BREITLING,steel,17,40,2800,https://www.ebay.com/itm/335385064352
Cartier Ballon Bleu Steel Diamond Watch (Small),F,Cartier,steel,15,28,4850,https://www.net-a-porter.com/en-us/shop/product/cartier/jewelry-and-watches/watches/ballon-bleu-de-cartier-automatic-33mm-stainless-steel-and-diamond-watch/1647597315202335
Cartier Divan Steel Watch,F,Cartier,other,19,31,2400,https://www.tourneau.com/watches/pre-owned-cartier/tank-divan-stainless-steel-quartz-w6300655-VCA9708021.html
Ferragamo Barra Diamond Watch,F,Ferragamo,brown,16,21.5,400,https://directluxury.com/products/ferragamo-ferragamo-secret-diamond-watch-sfsb00524-gold1-os
Chanel Boyfriend Watch,F,Chanel,black,13,30.5,3600,https://www.chanel.com/us/watches/p/H6954/boy-friend-watch/
Tag Heuer Aquaracer Chrono Steel Watch (CAY1110-0),M,Tagheuer,steel,18,44,1650,https://www.tagheuer.com/us/en/timepieces/collections/tag-heuer-aquaracer/43-mm-quartz/CAY1110.BA0927.html
Rolex Datejust Combination Watch (116233),M,Rolex,other,17,36,11000,https://www.authenticwatches.com/rolex-oyster-perpetual-datejust-116233-svjdfj.html
Breitling Navitimer Steel Watch (AB0117),M,BREITLING,steel,19,43,5300,https://www.tourneau.com/watches/pre-owned-breitling/navitimer-8-b01-chronograph-stainless-steel-automatic-ab0117-VBG10495.html
Hermes H Hour Diamond Watch (HH1.210),F,Hermes,black,16,21,2000,https://www.ebay.com/itm/135054220708
Cartier Tank Francaise Diamond Steel Watch,F,Cartier,steel,16,22.5,4500,https://www.cartier.com/en-us/watches/collections/tank/tank-francaise-watch--CRW4TA0020.html
Cartier Pasha Steel Watch (WSPA0012),F,Cartier,black,16,35,5000,https://diamondsourcenyc.com/products/cartier-pasha-de-cartier-35mm-watch-wspa0012